Name of reservoir and stream,Dead,Total,Usable,Owner or operator
Bankhead Lake (lock 17)Black Warrior River,39/000,94/100,55/100,Corps of Engineers
BayviewVillage Creek,4/410,9/510,5/100,Tennessee Coal &Iron Division/US Steel Corp
Big Creek LakeBig Creek,5/500,54/000,48/500,City of MobileWater ServiceSystem
Columbia lock and damChattahoochee River,590,18/170,17/580,Corps of Engineers
Demopolis lock and damTombigbee River,0,97/200,97/200,Corps of Engineers
GanttConecuh River,5/600,13/100,7/500,Alabama ElectricCo-op / Inc
Goat Rock *Chattahoochee River,4/000,11/000,aS /000,Georgia Power Co
GuntersvilleTennessee River,855 /800,1/018/700,162 / 800,Tennessee ValleyAuthority
Inland Lake (Blackburn Lake)Blackburn Fork,1/200,62/800,61/600,Birmingham IndustWater Supply
Jackson lock and dam‘Tombigbee River,73 /000,190/000,117/000,Corps of Engineers
Lake Harding (Bartletts Ferry Dam) ?Chattahoochee River,124/000,181/000,‘57/000,Georgia Power Co
Lake JordanCoosa River,140/000,189 /000,49/000,Alabama Power Co
Lake Martin (Cherokee Bluffs)Tallapoosa River,247/000,1/622/000,1/375/000,Alabama Power Co
Lake PurdyLittle Cahaba River,-,17/400,15/300,Birmingham Water-works Board
Lay LakeCoosa River,74/000,146 /000,72/000,Alabama Power Co
Lewis SmithSipsey Fork,995 / 700,1/670/700,675 / 000,Alabama Power Co
Mitchell LakeCoosa River,93 /000,170/000,77/000,Alabama Power Co
Walter F GeorgeChattahoochee River,196/700,1/028/100,831/400,Corps of Engineers
Warrior lock and damBlack Warrior River,4/250,49/025,44/775,Corps of Engineers
WeissCoosa River,8/510,607/700,599/200,Alabama Power Co
WheelerTennessee River,802/ 900,1/150/400,347/500,‘Tennessee ValleyAuthority
Wilson (Muscle Shoals Dam)Tennessee River,597/000,650 /000,53/000,Tennessee ValleyAuthority
Annex CreekAnnex Creek,0,23/360,23/360,A J Industries/Ine
Blue LakeSawmill Creek,0,150/000,150/000,City of Sitka
Cooper LakeCooper Creek,97/000,233 /000,108/000,Chugach ElectricAssociation/ Inc
Eklutna LakeEklutna Creek,-,185/500,163 /300,Bureau ofReclamation
Ketchikan LakeKetchikan Creek,2/020,20/000,18 /000,City of Ketchikan
Lake ConnellWard Creek,0,8/300,8/300,Ketchikan Pulp Co
Purple LakePurple Lake Outlet,7/000,32/000,25/000,Metlakatla IndianCommunity:
Salmon CreekSalmon Creek,0,19/000,19/000,A J Industries/Ine
Upper Silvas LakeBeaver Falls Creek,/ 0,16 /000,16/000,City of Ketchikan
Apache Lake (Horse Mesa Dam)Salt River,0,245 /000,245 /000,Salt River ValleyWater Users Assoc
BartlettVerde River,0,179/500,179/500,Salt River ValleyWater Users Assoc
Big LakeNorth Fork of East Fork of BlackRiver tributary,fe,12/200,12/200,Arizona Game andFish Department
Canyon Lake (Mormon Flat Dam)Salt River,0,57/900,57/900,Salt River ValleyWater Users Assoc
Cave CreekCave Creek,°,11/000,11/000,Salt River ValleyWater Users Assoc
Havasu Lake (Parker Dam)Colorado River,-,619/400,180/000,Bureau ofReclamation
HorseshoeVerde River,0,142 /800,142 /800,Salt River ValleyWater Users Assoc
Lake Mary (Lower)Walnut Creek,0,7/978,1/978,City of Flagstarr
Lake Mary (Upper)Walnut Creek,0,16/576,16/576,Caty of Plagstarr
Lake Mead (Hoover Dam) *Colorado River,2/620/000,29/827/000,27/207/000,Bureau ofReclamation
Lake Mohave (Davis Dam) *Colorado River,8/530,1/818/300,1/809/800,Bureau ofReclamation
